26.1Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,Dr,Cr,2026년 03월 31일,2025년 12월 31일,26.2Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,Dr,Cr,2026년 06월 30일,2025년 12월 31일,26.3Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,Dr,Cr,2026년 09월 30일,2025년 12월 31일,26.4Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,Dr,Cr,2026년 12월 31일,2025년 12월 31일
(4)당기법인세자산,0,"4,889,636,109",0,0,0,"45,388,378","910,708,451","5,845,732,938",,,,,"5,845,732,938","65,823,972",(4)당기법인세자산,,,,,,,,,,,,,,"65,823,972",(4)당기법인세자산,,,,,,,,,,,,,,"65,823,972",(4)당기법인세자산,,,,,,,,,,,,,,"65,823,972"
파생상품자산,0,0,0,0,0,0,0,0,,,,,0,0,파생상품자산,,,,,,,,,,,,,,0,파생상품자산,,,,,,,,,,,,,,0,파생상품자산,,,,,,,,,,,,,,0
매각예정비유동자산,0,0,0,0,0,0,0,0,,,,,0,0,매각예정비유동자산,,,,,,,,,,,,,,0,매각예정비유동자산,,,,,,,,,,,,,,0,매각예정비유동자산,,,,,,,,,,,,,,0
Ⅱ.비유동자산,"1,492,196,834,830","69,471,550,833","18,311,009,854","17,841,382",0,"5,189,210,715","71,798,312,431","1,656,984,760,045",,,,,"1,636,519,146,743","1,709,226,947,838",Ⅱ.비유동자산,,,,,,,,,,,,,,"1,709,226,947,838",Ⅱ.비유동자산,,,,,,,,,,,,,,"1,709,226,947,838",Ⅱ.비유동자산,,,,,,,,,,,,,,"1,709,226,947,838"
(1)투자자산,"713,076,306,539",0,0,0,0,0,0,"713,076,306,539",,,,,"662,711,113,123","741,912,114,225",(1)투자자산,,,,,,,,,,,,,,"741,912,114,225",(1)투자자산,,,,,,,,,,,,,,"741,912,114,225",(1)투자자산,,,,,,,,,,,,,,"741,912,114,225"
장기금융상품,"3,000,000",0,0,0,0,0,0,"3,000,000",,,,,"3,000,000","3,000,000",장기금융상품,,,,,,,,,,,,,,"3,000,000",장기금융상품,,,,,,,,,,,,,,"3,000,000",장기금융상품,,,,,,,,,,,,,,"3,000,000"
장기대여금,"39,764,500,000",0,0,0,0,0,0,"39,764,500,000",,"39,764,500,000",,,0,0,장기대여금,,,,,,,,,,,,,,0,장기대여금,,,,,,,,,,,,,,0,장기대여금,,,,,,,,,,,,,,0
장기대여금대손충당금,0,0,0,0,0,0,0,0,,,,,0,0,장기대여금대손충당금,,,,,,,,,,,,,,0,장기대여금대손충당금,,,,,,,,,,,,,,0,장기대여금대손충당금,,,,,,,,,,,,,,0
당기손익-공정가치측정금융자산,"10,963,464,738",0,0,0,0,0,0,"10,963,464,738",,,,,"10,963,464,738","9,284,627,839",당기손익-공정가치측정금융자산,,,,,,,,,,,,,,"9,284,627,839",당기손익-공정가치측정금융자산,,,,,,,,,,,,,,"9,284,627,839",당기손익-공정가치측정금융자산,,,,,,,,,,,,,,"9,284,627,839"
기타포괄손익-공정가치측정금융자산,0,0,0,0,0,0,0,0,,,,,0,0,기타포괄손익-공정가치측정금융자산,,,,,,,,,,,,,,0,기타포괄손익-공정가치측정금융자산,,,,,,,,,,,,,,0,기타포괄손익-공정가치측정금융자산,,,,,,,,,,,,,,0
상각후원가 금융자산,0,0,0,0,0,0,0,0,,,,,0,0,상각후원가 금융자산,,,,,,,,,,,,,,0,상각후원가 금융자산,,,,,,,,,,,,,,0,상각후원가 금융자산,,,,,,,,,,,,,,0
관계기업및종속기업투자,"662,345,341,801",0,0,0,0,0,0,"662,345,341,801","85,128,744,975","95,729,438,391",,,"651,744,648,385","732,624,486,386",관계기업및종속기업투자,,,,,,,,,,,,,,"732,624,486,386",관계기업및종속기업투자,,,,,,,,,,,,,,"732,624,486,386",관계기업및종속기업투자,,,,,,,,,,,,,,"732,624,486,386"
영업지원보증금대손충당금,0,0,0,0,0,0,0,0,,,,,0,0,영업지원보증금대손충당금,,,,,,,,,,,,,,0,영업지원보증금대손충당금,,,,,,,,,,,,,,0,영업지원보증금대손충당금,,,,,,,,,,,,,,0
(2)유형자산,"494,286,731,164","5,878,714,499","1,887,108,990",0,0,"361,892,515","71,621,895","502,486,069,063",,,,,"502,486,069,063","421,671,785,628",(2)유형자산,,,,,,,,,,,,,,"421,671,785,628",(2)유형자산,,,,,,,,,,,,,,"421,671,785,628",(2)유형자산,,,,,,,,,,,,,,"421,671,785,628"
