26.1Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2026년 누적,2026년 전분기 누적,2026년 1분기 연결,26.2Q,F&F,F&F Shanghai,FnF HONGKONG,F&F 베트남,빅텐츠,엔터테인머트,세르지오,단순합계,연결조정분개,연결조정분개,2026년 누적,2026년 전분기 누적,2026년 2분기 연결,26.3Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2026년 누적,2026년 전분기 누적,2026년 3분기 연결,26.4Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,,2026년 누적,2026년 전분기 누적,2026년 4분기 연결
도서인쇄비,"11,566,607",0,0,0,0,"423,640",0,"11,990,247",,,"11,990,247",,"11,990,247",도서인쇄비,,,,,,,,,,,,,,도서인쇄비,,,,,,,,,,,,,,도서인쇄비,,,,,,,,,,,,,
경상개발비,0,0,0,0,0,0,0,0,,,0,,0,경상개발비,,,,,,,,,,,,,,경상개발비,,,,,,,,,,,,,,경상개발비,,,,,,,,,,,,,
수선비,0,0,"140,173,962",33757,0,0,0,"140,207,719",,,"140,207,719",,"140,207,719",수선비,,,,,,,,,,,,,,수선비,,,,,,,,,,,,,,수선비,,,,,,,,,,,,,
아티스트개발비,0,0,0,0,0,"42,960,102",0,"42,960,102",,,"42,960,102",,"42,960,102",아티스트개발비,,,,,,,,,,,,,,아티스트개발비,,,,,,,,,,,,,,아티스트개발비,,,,,,,,,,,,,
판매촉진비,0,0,0,0,0,0,0,0,,,0,,0,판매촉진비,,,,,,,,,,,,,,판매촉진비,,,,,,,,,,,,,,판매촉진비,,,,,,,,,,,,,
판매수수료,0,0,0,0,0,0,0,0,,,0,,0,판매수수료,,,,,,,,,,,,,,판매수수료,,,,,,,,,,,,,,판매수수료,,,,,,,,,,,,,
판매장려금,0,0,0,0,0,0,0,0,,,0,,0,판매장려금,,,,,,,,,,,,,,판매장려금,,,,,,,,,,,,,,판매장려금,,,,,,,,,,,,,
수출제비용,0,0,0,0,0,0,0,0,,,0,,0,수출제비용,,,,,,,,,,,,,,수출제비용,,,,,,,,,,,,,,수출제비용,,,,,,,,,,,,,
잡비,0,0,0,0,0,0,0,0,,,0,,0,잡비,,,,,,,,,,,,,,잡비,,,,,,,,,,,,,,잡비,,,,,,,,,,,,,
해외시장개척비,0,0,0,0,0,0,0,0,,,0,,0,해외시장개척비,,,,,,,,,,,,,,해외시장개척비,,,,,,,,,,,,,,해외시장개척비,,,,,,,,,,,,,
용역료,0,0,0,0,0,0,0,0,,,0,,0,용역료,,,,,,,,,,,,,,용역료,,,,,,,,,,,,,,용역료,,,,,,,,,,,,,
Ⅴ.영업이익,"98,232,482,637","10,698,677,000","1,118,532,356","20,277,767",0,"-1,067,845,890","388,033,988","109,390,157,858",,,"153,481,999,734",,"153,481,999,734",Ⅴ.영업이익,,,,,,,,,,,,,,Ⅴ.영업이익,,,,,,,,,,,,,,Ⅴ.영업이익,,,,,,,,,,,,,
Ⅵ.영업외수익,"127,813,446,241","216,912,989","85,749,784","59,256",0,"20,868,544","341,000,727","128,478,037,541",,,"125,954,998,862",,"125,954,998,862",Ⅵ.영업외수익,,,,,,,,,,,,,,Ⅵ.영업외수익,,,,,,,,,,,,,,Ⅵ.영업외수익,,,,,,,,,,,,,
