26.1Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,,2026년 누적,2026년 전분기 누적,2026년 1분기,2025년 누적,2025년 전분기 누적,2025년 당분기,26.2Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,,2025년 누적,2026년 전분기 누적,2026년 2분기,2025년 누적,2025년 전분기 누적,2025년 당분기,26.3Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,,2026년 누적,2026년 전분기 누적,2026년 3분기,2025년 누적,2025년 전분기 누적,2025년 당분기,26.4Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,,2026년 누적,2026년 전분기 누적,2026년 4분기,2025년 누적,2025년 전분기 누적,2025년 당분기
임차료,"5,846,303,420","1,301,286,715","2,014,914,944",0,0,0,0,"9,162,505,079","6,799,706",,"9,169,304,785",,"9,169,304,785","8,218,611,448",,"8,218,611,448",임차료,,,,,,,,,,,,,,,,,임차료,,,,,,,,,,,,,,,,,임차료,,,,,,,,,,,,,,,,
대손상각비,"-222,188,194",0,0,0,0,0,"760,095,512","537,907,318",,,"537,907,318",,"537,907,318","64,301,741",,"64,301,741",대손상각비,,,,,,,,,,,,,,,,,대손상각비,,,,,,,,,,,,,,,,,대손상각비,,,,,,,,,,,,,,,,
보험료,"173,497,691","4,647,654","106,873,711",0,0,"4,960,070","9,120,134","299,099,260",,,"299,099,260",,"299,099,260","349,780,860",,"349,780,860",보험료,,,,,,,,,,,,,,,,,보험료,,,,,,,,,,,,,,,,,보험료,,,,,,,,,,,,,,,,
광고선전비,"8,142,667,811","14,553,644,003","533,656,492",0,0,0,"1,379,107,960","24,609,076,266",,,"24,609,076,266",,"24,609,076,266","24,096,577,900",,"24,096,577,900",광고선전비,,,,,,,,,,,,,,,,,광고선전비,,,,,,,,,,,,,,,,,광고선전비,,,,,,,,,,,,,,,,
차량유지비,"131,034,980","29,310,601",0,0,0,"3,202,200",0,"163,547,781",,,"163,547,781",,"163,547,781","193,169,477",,"193,169,477",차량유지비,,,,,,,,,,,,,,,,,차량유지비,,,,,,,,,,,,,,,,,차량유지비,,,,,,,,,,,,,,,,
교육훈련비,0,0,0,0,0,0,0,0,,,0,,0,0,,0,교육훈련비,,,,,,,,,,,,,,,,,교육훈련비,,,,,,,,,,,,,,,,,교육훈련비,,,,,,,,,,,,,,,,
접대비,"108,351,791","18,958,169",0,"544,539",0,"4,219,367",0,"132,073,866",,,"132,073,866",,"132,073,866","108,674,826",,"108,674,826",접대비,,,,,,,,,,,,,,,,,접대비,,,,,,,,,,,,,,,,,접대비,,,,,,,,,,,,,,,,
운반비,0,"4,353,186,101","1,216,857,502",0,0,0,"357,750,588","5,927,794,191",,,"5,927,794,191",,"5,927,794,191","6,120,455,293",,"6,120,455,293",운반비,,,,,,,,,,,,,,,,,운반비,,,,,,,,,,,,,,,,,운반비,,,,,,,,,,,,,,,,
소모품비,"1,678,005,433","474,922,109","105,656,228","369,934",0,"4,085,789","371,332,959","2,634,372,452",,0,"2,634,372,452",,"2,634,372,452","3,359,748,839",,"3,359,748,839",소모품비,,,,,,,,,,,,,,,,,소모품비,,,,,,,,,,,,,,,,,소모품비,,,,,,,,,,,,,,,,
지급수수료,"98,102,027,353","8,798,507,132","1,124,243,210","5,159,941",0,"31,642,612","1,128,624,816","109,190,205,064",,"329,818,947","108,860,386,117",,"108,860,386,117","112,649,640,349",,"112,649,640,349",지급수수료,,,,,,,,,,,,,,,,,지급수수료,,,,,,,,,,,,,,,,,지급수수료,,,,,,,,,,,,,,,,
관리수수료,0,0,0,0,0,0,0,0,,,0,,0,0,,0,관리수수료,,,,,,,,,,,,,,,,,관리수수료,,,,,,,,,,,,,,,,,관리수수료,,,,,,,,,,,,,,,,
영업운영비,0,0,0,0,0,0,0,0,,,0,,0,0,,0,영업운영비,,,,,,,,,,,,,,,,,영업운영비,,,,,,,,,,,,,,,,,영업운영비,,,,,,,,,,,,,,,,
감가상각비,"9,949,258,258","7,530,108,354","3,123,263,271",0,0,"157,118,578","110,470,958","20,870,219,419",,,"20,870,219,419",,"20,870,219,419","18,718,342,892",,"18,718,342,892",감가상각비,,,,,,,,,,,,,,,,,감가상각비,,,,,,,,,,,,,,,,,감가상각비,,,,,,,,,,,,,,,,
무형자산상각비,"2,846,079,182","99,347,027",0,0,0,"7,950,000","8,518,631","2,961,894,840","675,936,089",0,"3,637,830,929",,"3,637,830,929","1,846,820,001",,"1,846,820,001",무형자산상각비,,,,,,,,,,,,,,,,,무형자산상각비,,,,,,,,,,,,,,,,,무형자산상각비,,,,,,,,,,,,,,,,
도서인쇄비,"44,594,937",0,0,0,0,"127,540",0,"44,722,477",,,"44,722,477",,"44,722,477","60,976,204",,"60,976,204",도서인쇄비,,,,,,,,,,,,,,,,,도서인쇄비,,,,,,,,,,,,,,,,,도서인쇄비,,,,,,,,,,,,,,,,
경상개발비,0,0,0,0,0,0,0,0,,,0,,0,0,,0,경상개발비,,,,,,,,,,,,,,,,,경상개발비,,,,,,,,,,,,,,,,,경상개발비,,,,,,,,,,,,,,,,
수선비,0,0,"169,069,140",0,0,0,0,"169,069,140",,,"169,069,140",,"169,069,140","78,329,837",,"78,329,837",수선비,,,,,,,,,,,,,,,,,수선비,,,,,,,,,,,,,,,,,수선비,,,,,,,,,,,,,,,,
아티스트개발비,0,0,0,0,0,"48,328,564",0,"48,328,564",,,"48,328,564",,"48,328,564","45,803,273",,"45,803,273",아티스트개발비,,,,,,,,,,,,,,,,,아티스트개발비,,,,,,,,,,,,,,,,,아티스트개발비,,,,,,,,,,,,,,,,
판매촉진비,0,0,0,0,0,0,0,0,,,0,,0,0,,0,판매촉진비,,,,,,,,,,,,,,,,,판매촉진비,,,,,,,,,,,,,,,,,판매촉진비,,,,,,,,,,,,,,,,
판매수수료,0,0,0,0,0,0,0,0,,,0,,0,0,,0,판매수수료,,,,,,,,,,,,,,,,,판매수수료,,,,,,,,,,,,,,,,,판매수수료,,,,,,,,,,,,,,,,
판매장려금,0,0,0,0,0,0,0,0,,,0,,0,0,,0,판매장려금,,,,,,,,,,,,,,,,,판매장려금,,,,,,,,,,,,,,,,,판매장려금,,,,,,,,,,,,,,,,
수출제비용,0,0,0,0,0,0,0,0,,,0,,0,0,,0,수출제비용,,,,,,,,,,,,,,,,,수출제비용,,,,,,,,,,,,,,,,,수출제비용,,,,,,,,,,,,,,,,
잡비,0,0,0,0,0,0,0,0,,,0,,0,0,,0,잡비,,,,,,,,,,,,,,,,,잡비,,,,,,,,,,,,,,,,,잡비,,,,,,,,,,,,,,,,
해외시장개척비,0,0,0,0,0,0,0,0,,,0,,0,0,,0,해외시장개척비,,,,,,,,,,,,,,,,,해외시장개척비,,,,,,,,,,,,,,,,,해외시장개척비,,,,,,,,,,,,,,,,
용역료,0,0,0,0,0,0,0,0,,,0,,0,0,,0,용역료,,,,,,,,,,,,,,,,,용역료,,,,,,,,,,,,,,,,,용역료,,,,,,,,,,,,,,,,
Ⅴ.영업이익,"111,977,545,252","6,110,472,841","2,558,770","12,495,708",0,"-1,537,716,713","996,139,905","117,561,495,763",,,"123,616,388,059",,"123,616,388,060","130,211,001,500",,"130,211,001,500",Ⅴ.영업이익,,,,,,,,,,,,,,,,,Ⅴ.영업이익,,,,,,,,,,,,,,,,,Ⅴ.영업이익,,,,,,,,,,,,,,,,
Ⅵ.영업외수익,"12,691,643,137","977,547,590","71,474,920","180,760",0,"21,043,340","15,213,374","13,777,103,121",,,"12,514,628,551",,"12,514,628,551","9,489,371,244",,"9,489,371,244",Ⅵ.영업외수익,,,,,,,,,,,,,,,,,Ⅵ.영업외수익,,,,,,,,,,,,,,,,,Ⅵ.영업외수익,,,,,,,,,,,,,,,,
이자수익,"1,101,527,270","228,929,219","40,226,099","4,757",0,"19,611,856","15,213,374","1,405,512,575","391,738,822",,"1,013,773,753",,"1,013,773,753","1,831,592,779",,"1,831,592,779",이자수익,,,,,,,,,,,,,,,,,이자수익,,,,,,,,,,,,,,,,,이자수익,,,,,,,,,,,,,,,,
수수료수익,"543,500,473",0,0,0,0,0,0,"543,500,473","170,832,061",,"372,668,412",,"372,668,412","344,905,282",,"344,905,282",수수료수익,,,,,,,,,,,,,,,,,수수료수익,,,,,,,,,,,,,,,,,수수료수익,,,,,,,,,,,,,,,,
임대료수익,0,0,0,0,0,0,0,0,,,0,,0,0,,0,임대료수익,,,,,,,,,,,,,,,,,임대료수익,,,,,,,,,,,,,,,,,임대료수익,,,,,,,,,,,,,,,,
외화환산이익,"1,001,353,115",0,0,0,0,0,0,"1,001,353,115",,,"1,001,353,115",,"1,001,353,115","2,908,486,961",,"2,908,486,961",외화환산이익,,,,,,,,,,,,,,,,,외화환산이익,,,,,,,,,,,,,,,,,외화환산이익,,,,,,,,,,,,,,,,
외환차익,"8,278,280,003",0,"21,042,650","176,003",0,"1,410,715",0,"8,300,909,371",,,"8,300,909,371",,"8,300,909,371","3,358,703,699",,"3,358,703,699",외환차익,,,,,,,,,,,,,,,,,외환차익,,,,,,,,,,,,,,,,,외환차익,,,,,,,,,,,,,,,,
배당금수익,"336,911,656",0,0,0,0,0,0,"336,911,656",0,,"336,911,656",,"336,911,656","62,288,677",,"62,288,677",배당금수익,,,,,,,,,,,,,,,,,배당금수익,,,,,,,,,,,,,,,,,배당금수익,,,,,,,,,,,,,,,,
대손충당금환입,"4,409,166",0,0,0,0,0,0,"4,409,166",0,,"4,409,166",,"4,409,166",0,,0,대손충당금환입,,,,,,,,,,,,,,,,,대손충당금환입,,,,,,,,,,,,,,,,,대손충당금환입,,,,,,,,,,,,,,,,
무형자산손상차손환입,0,0,0,0,0,0,0,0,,,0,,0,0,,0,무형자산손상차손환입,,,,,,,,,,,,,,,,,무형자산손상차손환입,,,,,,,,,,,,,,,,,무형자산손상차손환입,,,,,,,,,,,,,,,,
투자부동산처분이익,0,0,0,0,0,0,0,0,,,0,,0,0,,0,투자부동산처분이익,,,,,,,,,,,,,,,,,투자부동산처분이익,,,,,,,,,,,,,,,,,투자부동산처분이익,,,,,,,,,,,,,,,,
유형자산처분이익,0,0,0,0,0,0,0,0,,,0,,0,0,,0,유형자산처분이익,,,,,,,,,,,,,,,,,유형자산처분이익,,,,,,,,,,,,,,,,,유형자산처분이익,,,,,,,,,,,,,,,,
무형자산처분이익,0,0,0,0,0,0,0,0,,,0,,0,0,,0,무형자산처분이익,,,,,,,,,,,,,,,,,무형자산처분이익,,,,,,,,,,,,,,,,,무형자산처분이익,,,,,,,,,,,,,,,,
금융보증부채환입액,0,0,0,0,0,0,0,0,,,0,,0,0,,0,금융보증부채환입액,,,,,,,,,,,,,,,,,금융보증부채환입액,,,,,,,,,,,,,,,,,금융보증부채환입액,,,,,,,,,,,,,,,,
잡이익,"1,204,678,292","748,618,371","10,206,171",0,0,"20,769",0,"1,963,523,603","699,903,687",,"1,263,619,916",,"1,263,619,916","507,853,235",,"507,853,235",잡이익,,,,,,,,,,,,,,,,,잡이익,,,,,,,,,,,,,,,,,잡이익,,,,,,,,,,,,,,,,
단기매매증권평가이익,0,0,0,0,0,0,0,0,,,0,,0,0,,0,단기매매증권평가이익,,,,,,,,,,,,,,,,,단기매매증권평가이익,,,,,,,,,,,,,,,,,단기매매증권평가이익,,,,,,,,,,,,,,,,
단기매매증권처분이익,0,0,0,0,0,0,0,0,,,0,,0,0,,0,단기매매증권처분이익,,,,,,,,,,,,,,,,,단기매매증권처분이익,,,,,,,,,,,,,,,,,단기매매증권처분이익,,,,,,,,,,,,,,,,
파생상품평가이익,0,0,0,0,0,0,0,0,,,0,,0,0,,0,파생상품평가이익,,,,,,,,,,,,,,,,,파생상품평가이익,,,,,,,,,,,,,,,,,파생상품평가이익,,,,,,,,,,,,,,,,
당기손익-공정가치측정금융자산 평가이익,0,0,0,0,0,0,0,0,,,0,,0,"116,062,800",,"116,062,800",당기손익-공정가치측정금융자산 평가이익,,,,,,,,,,,,,,,,,당기손익-공정가치측정금융자산 평가이익,,,,,,,,,,,,,,,,,당기손익-공정가치측정금융자산 평가이익,,,,,,,,,,,,,,,,
당기손익인식금융자산처분이익,"159,469,175",0,0,0,0,0,0,"159,469,175",,,"159,469,175",,"159,469,175","18,481,512",,"18,481,512",당기손익인식금융자산처분이익,,,,,,,,,,,,,,,,,당기손익인식금융자산처분이익,,,,,,,,,,,,,,,,,당기손익인식금융자산처분이익,,,,,,,,,,,,,,,,
파생상품거래이익,"61,513,987",0,0,0,0,0,0,"61,513,987",,,"61,513,987",,"61,513,987","340,996,299",,"340,996,299",파생상품거래이익,,,,,,,,,,,,,,,,,파생상품거래이익,,,,,,,,,,,,,,,,,파생상품거래이익,,,,,,,,,,,,,,,,
지분법이익,0,0,0,0,0,0,0,0,,,0,,0,0,,0,지분법이익,,,,,,,,,,,,,,,,,지분법이익,,,,,,,,,,,,,,,,,지분법이익,,,,,,,,,,,,,,,,
관계기업투자주식처분이익,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,관계기업투자주식처분이익,,,,,,,,,,,,,,,,,관계기업투자주식처분이익,,,,,,,,,,,,,,,,,관계기업투자주식처분이익,,,,,,,,,,,,,,,,
종속기업투자주식처분이익,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,종속기업투자주식처분이익,,,,,,,,,,,,,,,,,종속기업투자주식처분이익,,,,,,,,,,,,,,,,,종속기업투자주식처분이익,,,,,,,,,,,,,,,,
